[2022-04-17 21:10:41,885][INFO][discord.client] - logging in using static token
[2022-04-17 21:10:48,858][INFO][discord.gateway] - Shard ID None has sent the IDENTIFY payload.
[2022-04-17 21:10:49,155][INFO][discord.gateway] - Shard ID None has connected to Gateway: ["gateway-prd-main-q2sk",{"micros":116327,"calls":["discord-sessions-blue-prd-2-165",{"micros":114131,"calls":["start_session",{"micros":96661,"calls":["discord-api-6db46b8d45-7zrgd",{"micros":89448,"calls":["get_user",{"micros":13947},"add_authorized_ip",{"micros":5281},"get_guilds",{"micros":7247},"coros_wait",{"micros":2}]}]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":1,"calls":[]}]}]}] (Session ID: 651e818e164a92138f67f0b3e9143638).
[2022-04-17 21:11:43,791][INFO][discord.voice_client] - Connecting to voice...
[2022-04-17 21:11:43,791][INFO][discord.voice_client] - Starting voice handshake... (connection attempt 1)
[2022-04-17 21:11:44,073][INFO][discord.voice_client] - Voice handshake complete. Endpoint found rotterdam9519.discord.media
[2022-04-17 21:11:44,836][INFO][discord.gateway] - selected the voice protocol for use (xsalsa20_poly1305_lite)
[2022-04-17 21:11:44,925][INFO][discord.gateway] - received secret key for voice connection
[2022-04-17 21:26:21,019][INFO][discord.player] - Preparing to terminate ffmpeg process 104993.
[2022-04-17 21:26:21,019][INFO][discord.player] - ffmpeg process 104993 has not terminated. Waiting to terminate...
[2022-04-17 21:26:21,020][INFO][discord.voice_client] - The voice handshake is being terminated for Channel ID 609351352052875264 (Guild ID 418887354699350028)
[2022-04-17 21:26:21,021][INFO][discord.voice_client] - Disconnecting from voice normally, close code 1000.
[2022-04-17 21:26:21,021][INFO][discord.player] - Preparing to terminate ffmpeg process 104993.
[2022-04-17 21:26:21,021][INFO][discord.player] - ffmpeg process 104993 has not terminated. Waiting to terminate...
[2022-04-17 21:26:21,035][INFO][discord.player] - ffmpeg process 104993 should have terminated with a return code of -9.
[2022-04-17 21:26:27,533][INFO][discord.voice_client] - Connecting to voice...
[2022-04-17 21:26:27,540][INFO][discord.voice_client] - Starting voice handshake... (connection attempt 1)
[2022-04-17 21:26:27,818][INFO][discord.voice_client] - Voice handshake complete. Endpoint found rotterdam9519.discord.media
[2022-04-17 21:26:28,501][INFO][discord.gateway] - selected the voice protocol for use (xsalsa20_poly1305_lite)
